id,categoryname,en,ja,jaji,zh,zhji,ko,koji,de,ru,ruji,fr,es,it,ta,taji,te,teji,kn
114,Sports,callisthenics,体操,taisō,体操,tǐcāo,건강 체조,geongang chejo,die Gymnastik,гимнастика,gimnastika,la gymnastique,la gimnasia,la ginnastica,காலிஸ்தனிக் உடற் பயிற்சி,kālistaṉik uṭaṟ payiṟci,ఓ రకమైన వ్యాయామ క్రీడలు,kālistheniks,ಅಂಗಸಾಧನೆಗಳು
115,Sports,canoe,カヌー,kanū,独木舟,dú mùzhōu,카누,kanu,das Kanu,каноэ,kanoe,le canoë,la canoa,la canoa,இலேசான படகு,ilēcāṉa paṭaku,ఓ రకమైన ఓడ,ō rakamaina ōḍa,ತೋಡು ದೋಣಿ
116,Sports,car race,カーレース,kārēsu,赛车,sàichē,자동차 경주,jadongcha gyeongju,das Autorennen,автомобильные гонки,avtomobil'nyye gonki,la course automobile,la carrera de coches,l'auto da corsa,கார் பந்தயம்,kār pantayam,కారు రేసు,kāru rēsu,ಕಾರುಗಳ ಓಟದ ಪಂದ್ಯ
117,Sports,catamaran,カタマラン,katamaran,双体船,shuāng tǐ chuán,쌍동선,ssangdongseon,der Katamaran,катамаран,katamaran,le catamaran,el catamarán,il catamarano,கட்டுமரம்,kaṭṭumaram,దుంగలతో కట్టిన ఓ పలక,keṭamārān,ತೆಪ್ಪ
118,Sports,climbing,クライミング,kuraimingu,攀登,pāndēng,등산,deungsan,das Klettern,скалолазание,skalolazaniye,l'escalade,la escalada,l'arrampicata,ஏறுதல்,ēṟutal,ఎక్కుట,ekkuṭa,ಹತ್ತುವುದು
119,Sports,cricket,クリケット,kuriketto,板球,bǎn qiú,크리켓,keulikes,das Kricket,крикет,kriket,le cricket,el críquet,il cricket,கிரிக்கெட்,kirikkeṭ,క్రికెట్,krikeṭ,ಕ್ರಿಕೆಟ್
120,Sports,cross-country skiing,クロスカントリー,kurosukantorī,越野滑雪,yuèyě huáxuě,크로스 컨트리 스키,keuloseu keonteuli seuki,der Skilanglauf,бег на лыжах на длинные дистанции,beg na lyzhakh na dlinnyye distantsii,le ski de fond,el esquí de fondo,lo sci di fondo,திறந்தவெளிப் பனிச்சறுக்கு,tiṟantaveḷip paṉiccaṟukku,అంతర దేశ స్కీయింగ్,krās kaṇṭrī skīyiṅg,ಬಯಲು ಸ್ಕೀಯಿಂಗ್
121,Sports,cup,カップ,kappu,奖杯,jiǎngbēi,우승컵,useungkeob,der Pokal,кубок,kubok,la coupe,la copa,la coppa,கோப்பை,kōppai,గిన్నె,kap,ಕಪ್
122,Sports,defense,防御,bōgyo,防守,fángshǒu,방어,bang-eo,die Abwehr,защита,zashchita,la défense,la defensa,la difesa,பாதுகாப்பு,pātukāppu,రక్షణ,rakṣaṇa,ರಕ್ಷಣೆ
123,Sports,dumbbell,ダンベル,danberu,哑铃,yǎlíng,덤벨,deombel,die Hantel,гантель,gantel',l'haltère,la mancuerna,il manubrio,சப்பளக்கட்டை,cappaḷakkaṭṭai,మూగఘటం,ḍambel,ಕಬ್ಬಿಣದ ದಂಡ
124,Sports,equestrian,馬術,bajutsu,马术,mǎshù,승마,seungma,der Reitsport,конный спорт,konnyy sport,l'équitation,la hípica,l'equitazione,குதிரைச்சவாரி,kutiraiccavāri,అశ్వికుడు,īkvesṭriyan,ಕುದುರೆ ಸವಾರಿ ಕ್ರೀಡೆ
125,Sports,exercise,エクササイズ,ekusasaizu,锻炼,duànliàn,운동,undong,die Übung,упражнение,uprazhneniye,l'exercice,el ejercicio,l'esercizio,உடற்பயிற்சி,uṭaṟpayiṟci,వ్యాయామము,vyāyāmaṁ,ವ್ಯಾಯಾಮ
126,Sports,exercise ball,エクササイズボール,ekusasaizubōru,健身球,jiànshēn qiú,운동 공,undong gong,der Gymnastikball,гимнастический мяч,gimnasticheskiy myach,le ballon e gymnastique,la pelota de ejercicio,palla da ginnastica,உடற்பயிற்சி பந்து,uṭaṟpayiṟci pantu,వ్యాయామపు బంతి,vyāyāmapu banti,ವ್ಯಾಯಾಮದ ಚೆಂಡು
127,Sports,exercise machine,運動器具,undō kigu,运动机,yùndòng jī,운동 기계,undong gigye,das Trainingsgerät,тренажер,trenazher,l'appareil d'exercice,la máquina de ejercicio,attrezzi da palestra,உடற்பயிற்சி இயந்திரம்,uṭaṟpayiṟci iyantiram,వ్యాయామ యంత్రము,vyāyāma yantraṁ,ವ್ಯಾಯಾಮ ಯಂತ್ರ
128,Sports,fencing,フェンシング,fenshingu,击剑,jíjiàn,펜싱,pensing,der Fechtsport,фехтование,fekhtovaniye,l'escrime,la esgrima,la scherma,வாள்வீச்சு,vāḷvīccu,రక్షణ కంచె,phensiṅg,ಕತ್ತಿವರಸೆ
129,Sports,fin,足ひれ,ashi hire,脚蹼,jiǎopǔ,물갈퀴,mulgalkwi,die Flosse,ласты,lasty,la palme,la aleta,la pinna,துடுப்பு,tuṭuppu,పొలుసు,phin,ಈಜುರೆಕ್ಕೆ
130,Sports,fishing,釣り,tsuri,钓鱼,diàoyú,낚시,nakksi,der Angelsport,рыбалка,rybalka,la pêche à la ligne,la pesca,la pesca,மீன்பிடி,mīṉpiṭi,చేపలు పట్టడము,cēpalu paṭṭaḍamu,ಮೀನು ಹಿಡಿಯುವುದು
131,Sports,fitness,フィットネス,fittonesu,健身,jiànshēn,체력,chelyeog,die Fitness,фитнес,fitnes,la remise en forme,la forma física / el fitness,il fitness,திடகாத்திரம்,tiṭakāttiram,యుక్తత,dhr̥ḍhatvaṁ,ಸಾಮರ್ಥ್ಯ
132,Sports,football club,サッカークラブ,sakkākurabu,足球俱乐部,zúqiú jùlèbù,축구 클럽,chuggu keulleob,der Fußballclub,футбольный клуб,futbol'nyy klub,le club de football,el club de fútbol,la squadra di calcio,கால்பந்து கிளப்,kālpantu kiḷap,ఫుట్ బాల్ క్లబ్,phuṭ bāl klab,ಕಾಲ್ಚೆಂಡಿನ ಸಂಘ
133,Sports,frisbee,フリスビー,furisubī,飞盘,fēipán,프리스비,peuliseubi,der Frisbee,летающий диск,letayushchiy disk,le frisbee,el disco volador,il frisbee,ஃப்ரிஸ்பீ,ḥprispī,ఫ్రిస్బీ,phrisbī,ಫ್ರಿಸ್ ಬೀ
134,Sports,glider,グライダー,guraidā,滑翔机,huáxiángjī,글라이더,geullaideo,das Segelflugzeug,планер,planer,le planeur,el planeador,l'aliante,மிதவை வானூர்தி,mitavai vāṉūrti,జారుడు జీవి,glayiḍar,ಹಾಯಿ ವಿಮಾನ
135,Sports,goal,ゴール,gōru,球门,qiúmén,골문,golmun,das Tor,ворота,vorota,le but,el gol,la porta,இலக்கு,ilakku,గోల్,gōl,ಗುರಿಗಂಬಗಳು
136,Sports,goalkeeper,ゴールキーパー,gōrukīpā,守门员,shǒuményuán,골키퍼,golkipeo,der Torwart,вратарь,vratar',le gardien de but,el portero,il portiere,கோல்கீப்பர்,kōlkīppar,గోల్ కీపర్,gōl kīpar,ಗೋಲುರಕ್ಷಕ
137,Sports,golf club,ゴルフクラブ,Gorufukurabu,高尔夫球棒杆,gāo'ěrfū qiú bàng gān,골프 클럽,golpeu keulleob,der Golfschläger,клюшка для гольфа,klyushka dlya gol'fa,le club de golf,el club de golf,la mazza da golf,குழிப்பந்தாட்ட மன்றம்,kuḻippantāṭṭa maṉṟam,గోల్ఫ్ క్లబ్,gōlph klab,ಗಾಲ್ಫ್ ದಾಂಡು
138,Sports,gymnastics,体操競技,taisō kyōgi,体操,tǐcāo,체조,chejo,das Turnen,физкультура,fizkul'tura,la gymnastique,la gimnasia,la ginnastica,சீருடற்பயிற்சி,cīruṭaṟpayiṟci,శారీరక\, ఆరోగ్య వ్యాయామములు,jimnāsṭiks,ಕಸರತ್ತು
139,Sports,handstand,逆立ち,sakadachi,手倒立,shǒu dàolì,물구나무서기,mulgunamuseogi,der Handstand,стойка на руках,stoyka na rukakh,l'équilibre sur les mains,el pino,la verticale,கையால் நிற்பது,kaiyāl niṟpatu,చేతి ధృఢత్వము,cētulapai nilabaḍaḍaṁ,ಕೈಮೇಲೆ ನಿಲ್ಲುವುದು
140,Sports,hang-glider,ハンググライダー,hanguguraidā,滑翔机,huáxiángjī,행글라이더,haeng-geullaideo,der Drachenflieger,дельтапланерист,del'taplanerist,le deltaplane,el ala delta,il deltaplano,தொங்கு-மிதவை வானூர்தி,toṅku-mitavai vāṉūrti,వేలాడే జారుడుజీవి,hyaṅg glayiḍar,ಕೈಯಲ್ಲಿ ಹಿಡಿದು ಹಾರುವ ಹಾಯಿ ವಿಮಾನ
141,Sports,high jump,高跳び,takatobi,跳高,tiàogāo,높은 점프,nop-eun jeompeu,der Hochsprung,прыжки в высоту,pryzhki v vysotu,le saut en hauteur,el salto de altura,il salto in alto,உயரம் தாண்டுதல்,uyaram tāṇṭutal,ఎత్తుకు ఎగురుట,hai jamp,ಎತ್ತರ ನೆಗೆತ
142,Sports,horse race,競馬,keiba,赛马,sàimǎ,경마,gyeongma,das Pferderennen,скачки,skachki,la course de chevaux,la carrera de caballos,la corsa di cavalli,குதிரைப்பந்தயம்,kutiraippantayam,గుర్రపు స్వారీ,gurrapu svārī,ಕುದುರೆಪಂದ್ಯ
143,Sports,hot air balloon,熱気球,nekkikyū,热气球,rè qìqiú,열기구,yeolgigu,der Heißluftballon,монгольфьер,mongol'f'yer,la montgolfière,el globo de aire caliente,la mongolfiera,வெப்பக் காற்று பலூன்,veppak kāṟṟu palūṉ,వేడి గాలి గుమ్మటం,vēḍi gāli gum'maṭaṁ,ಬಿಸಿ ಗಾಳಿ ಆಕಾಶಬುಟ್ಟಿ
144,Sports,hunt,狩り,kari,狩猎,shòuliè,사냥,sanyang,die Jagd,охота,okhota,la chasse,la caza,la caccia,வேட்டை,vēṭṭai,వేటాడు,vēṭa,ಬೇಟೆ
145,Sports,ice hockey,アイスホッケー,aisuhokkē,冰球,bīngqiú,아이스 하키,aiseu haki,das Eishockey,хоккей с шайбой,khokkey s shayboy,le hockey sur glace,el hockey sobre hielo,l' hockey su ghiaccio,பனிக்கட்டி ஹாக்கி,paṉikkaṭṭi hākki,మంచు హాకీ,ais hākī,ನೀರ್ಗಲ್ಲ ಹಾಕಿ
146,Sports,ice skate,アイススケート,aisusukēto,溜冰鞋,liūbīng xié,아이스 스케이트,aiseu seukeiteu,der Schlittschuh,конек,konek,le patin à glace,el patín,i pattini da ghiaccio,பனிச் சறுக்கு,paṉic caṟukku,మంచు స్కేట్,ais skēṭ,ನೀರ್ಗಲ್ಲ ಜಾರಾಟ
147,Sports,javelin throw,やり投げ,yarinage,标枪,biāoqiāng,창던지기,changdeonjigi,der Speerwurf,метание копья,metaniye kop'ya,le lancer du javelot,el lanzamiento de jabalina,il lancio del giavellotto,ஈட்டி எறிதல்,īṭṭi eṟital,జావెలిన్ త్రో,jāvelin trō,ಭಲ್ಲೆಯ ಎಸೆತ
148,Sports,jogging,ジョギング,jogingu,慢跑,mànpǎo,조깅,joging,das Jogging,бег трусцой,beg trustsoy,le jogging,el footing,il jogging,மெது ஓட்டம்,metu ōṭṭam,జాగింగ్,jāgiṅg,ಓಟ
149,Sports,jump,ジャンプ,janpu,跳,tiào,점프,jeompeu,der Sprung,прыжок,pryzhok,le saut,el salto,il salto,குதித்தல்,kutittal,ఎగురుట,eguruṭa,ನೆಗೆತ
150,Sports,kayak,カヤック,kayakku,皮艇,pí tǐng,카약,kayag,der Kajak,байдарка,baydarka,le kayak,el kayak,il kayak,பனிக்கடற் படகு,paṉikkaṭaṟ paṭaku,పైభాగం కప్పు వేయబడిన చిన్న పడవ,cinna paḍava,ಕಾಯಾಕ್
151,Sports,kick,キック,kikku,开球,kāi qiú,차기,chagi,der Tritt,удар ногой,udar nogoy,le coup de pied,la patada,il calcio,உதை,utai,కాలితో తన్ను,kālitō tannu,ಒದೆತ
152,Sports,life jacket,ライフジャケット,raifu jaketto,救生衣,jiùshēngyī,구명 조끼,gumyeong jokki,die Schwimmweste,спасательный жилет,spasatel'nyy zhilet,le gilet de sauvetage,el chaleco salvavidas,il giubbotto di salvataggio,காப்புச்சட்டை,kāppuccaṭṭai,జీవితకవచము,laiph jākeṭ,ತೇಲು ಕವಚ
153,Sports,marathon,マラソン,marason,马拉松,mǎlāsōng,마라톤,malaton,der Marathonlauf,марафонский бег,marafonskiy beg,le marathon,el maratón,la maratona,நெடுந்தூர ஓட்டப்போட்டி,neṭuntūra ōṭṭappōṭṭi,మారథాన్,mārathān,ಮ್ಯಾರಥಾನ್
154,Sports,martial arts,武術,bujutsu,武术,wǔshù,무술,musul,der Kampfsport,боевые искусства,boyevyye iskusstva,les arts martiaux,las artes marciales,le arti marziali,தற்காப்புக் கலை,taṟkāppuk kalai,యుద్ధ కళలు,pōrāṭa vidyalu,ಯುದ್ದೋಚಿತ ಕಲೆಗಳು
155,Sports,mini golf,ミニゴルフ,mini gorufu,迷你高尔夫球场,mínǐ gāo'ěrfū qiúchǎng,미니 골프,mini golpeu,das Minigolf,мини-гольф,mini-gol'f,le mini-golf,el mini-golf,il mini golf,சிறிய குழிப்பந்தாட்டம்,ciṟiya kuḻippantāṭṭam,మినీ గోల్ఫ్,minī gōlph,ಮಿನಿ ಗಾಲ್ಫ್
156,Sports,momentum,運動量,undōryō,跳跃,tiàoyuè,운동량,undonglyang,der Schwung,взмах,vzmakh,l'élan,el impulso,lo slancio,உத்வேகம்,utvēkam,చాలనవేగము,gati vēgaṁ,ರಭಸ
157,Sports,parachute,パラシュート,parashūto,降落伞,jiàngluòsǎn,낙하산,naghasan,der Fallschirm,парашют,parashyut,le parachute,el paracaídas,il paracadute,பாராசூட்,pārācūṭ,గొడుగు వంటి పరికరము,pyārācūṭ,ದುಮುಕು ಕೊಡೆ/ ಪ್ಯಾರಾಚೂಟ್
158,Sports,paragliding,パラグライダー,paraguraidā,滑翔伞,huáxiáng sǎn,패러 글라이딩,paeleo geullaiding,das Paragleiten,парапланеризм,paraplanerizm,le parapente,el parapente,il parapendio,வான்சறுக்கு,vāṉcaṟukku,పాకుడు,pyārā glayiḍiṅg,ಪ್ಯಾರಾಗ್ಲೈಡಿಂಗ್
159,Sports,runner,ランナー,ran'nā,女跑步者,nǚ pǎobù zhě,달리는 사람,dallineun salam,die Läuferin,бегунья,begun'ya,la coureuse,el corredor,il corridore,ஓடுபவர்,ōṭupavar,రన్నర్,rannar,ಓಟಗಾರ
160,Sports,sail,帆,ho,帆,fān,돛,doch,das Segel,парус,parus,la voile,la vela,la vela,பாய் மரத்துணி,pāy marattuṇi,తెరచాప,teracāpa,ಹಾಯಿ
161,Sports,sailboat,ヨット,yotto,帆船,fānchuán,범선,beomseon,das Segelboot,парусник,parusnik,le voilier,el velero,la barca a vela,பாய்மரப் படகு,pāymarap paṭaku,తెరచాపగల నావ,teracāpagala nāva,ಹಾಯಿ ದೋಣಿ
162,Sports,sailing ship,帆船,hansen,帆船,fānchuán,범선,beomseon,das Segelschiff,парусная лодка,parusnaya lodka,le voilier,el velero,il veliero,பாய்மர கப்பல்,pāymara kappal,నౌకాయాన నౌక,payanin̄cē nauka,ಹಾಯಿ ಹಡಗು
163,Sports,shape,体調,taichō,状况,zhuàngkuàng,모양,moyang,die Kondition,форма,forma,la forme physique,la forma,la forma,உருவம்,uruvam,ఆకారము,ākāramu,ಆಕಾರ
164,Sports,ski course,スキーコース,sukīkōsu,滑雪教程,huáxuě jiàochéng,스키 코스,seuki koseu,der Skikurs,лыжная дистанция,lyzhnaya distantsiya,le cours de ski,el curso de esquí,il corso di sci,பனிச் சறுக்குப் பயிற்சி திசை,paṉic caṟukkup payiṟci ticai,స్కీ కోర్సు,skī kōrsu,ಸ್ಕಿ ವೈಹಾಳಿಪಥ
165,Sports,skipping rope,縄跳び,nawatobi,跳绳,tiàoshéng,줄넘기 줄,julneomgi jul,das Springseil,скакалка,skakalka,la corde à sauter,la cuerda de saltar,la corda per saltare,கெந்துகயிறு,kentukayiṟu,ఎగురుతూ ఆడే ఆటలో వాడు తాడు,skippiṅg tāḍu,ಜಿಗಿ ಹಗ್ಗ
166,Sports,snowboard,スノーボード,sunōbōdo,滑雪板,huáxuěbǎn,스노보드,seunobodeu,das Snowboard,сноуборд,snoubord,le snowboard,la tabla de snowboard,lo snowboard,பனிப் பலகை,paṉip palakai,మంచు పటము,snō bōrḍ,ನೀರ್ಗಲ್ಲು ಹಲಗೆ
167,Sports,snowboarder,スノーボーダー,sunōbōdā,滑雪板者,huáxuěbǎn zhě,스노보드를 타는 사람,seunobodeuleul taneun salam,der Snowboardfahrer,сноубордист,snoubordist,le snowboarder,el snowboarder,lo snowboarder,பனிப்பலகை செலுத்துனர்,paṉippalakai celuttuṉar,మంచును అధిరోహించువారు,snō bōrḍar,ನೀರ್ಗಲ್ಲುಹಲಗೆ ಓಟಗಾರ
168,Sports,sports,スポーツ,supōtsu,体育,tǐyù,스포츠,seupocheu,der Sport,спорт,sport,le sport,los deportes,lo sport,விளையாட்டு,viḷaiyāṭṭu,క్రీడలు,krīḍalu,ಕ್ರೀಡೆ
169,Sports,squash player,スカッシュプレーヤー,sukasshupurēyā,壁球运动员,bìqiú yùndòngyuán,스쿼시 선수,seukwosi seonsu,der Squashspieler,игрок в сквош,igrok v skvosh,le joueur de squash,el jugador de squash,il giocatore di squash,ஸ்குவாஷ் வீரர்,skuvāṣ vīrar,స్క్వాష్ ఆటగాడు,skvāṣ āṭagāḍu,ಸ್ಕ್ವಾಶ್ ಆಟಗಾರ
170,Sports,strength training,筋力トレーニング,kinryoku torēningu,体力训练,tǐlì xùnliàn,근력 훈련,geunlyeog hunlyeon,das Krafttraining,силовая тренировка,silovaya trenirovka,la musculation,el entrenamiento de la fuerza,il sollevamento pesi,வலிமைப் பயிற்சி,valimaip payiṟci,బలం శిక్షణ,dāruḍhya śikṣaṇa,ಸಾಮರ್ಥ್ಯ ಶಿಕ್ಷಣ
171,Sports,stretching,ストレッチ,sutoretchi,伸展,shēnzhǎn,스트레칭,seuteuleching,das Stretching,растяжение,rastyazheniye,le stretching,el estiramiento,lo stretching,உடலை நீட்டிப் பயிற்சி எடுத்தல்,uṭalai nīṭṭip payiṟci eṭuttal,సాగతీత,sāgatīta,ನೀಳ ಮಾಡುವುದು
172,Sports,surfboard,サーフボード,sāfubōdo,冲浪板,chōnglàng bǎn,서핑 보드,seoping bodeu,das Surfbrett,доска для серфинга,doska dlya serfinga,la planche de surf,la tabla de surf,la tavola da surf,அலை பலகை,alai palakai,సర్ఫ్ బోర్డు,sarph bōrḍu,ತೆರೆನೊರೆ ಸವಾರಿ ಹಲಗೆ
173,Sports,surfer,サーファー,sāfā,冲浪者,chōnglàng zhě,파도타기를 하는 사람,padotagileul haneun salam,der Surfer,серфингист,serfingist,le surfer,el surfista,il surfista,அலை பலகையைச் செலுத்துநர்,alai palakaiyaic celuttunar,సర్ఫర్,sarphar,ತೆರೆನೊರೆ ಸವಾರ
174,Sports,surfing,サーフィン,sāfin,冲浪,chōnglàng,파도타기,padotagi,das Surfing,серфинг,serfing,le surf,el surf,il surfing,அலையாடல்,alaiyāṭal,సర్ఫింగ్,sarphiṅg,ತೆರೆನೊರೆ ಸವಾರಿ
175,Sports,table tennis,卓球,takkyū,乒乓球,pīngpāng qiú,탁구,taggu,das Tischtennis,настольный теннис,nastol'nyy tennis,le tennis de table,el pimpón,il ping-pong,டேபிள் டென்னிஸ்,ṭēpiḷ ṭeṉṉis,టేబుల్ టెన్నిస్,ṭēbul ṭennis,ಟೇಬಲ್ ಟೆನ್ನಿಸ್
176,Sports,table tennis ball,ピンポンボール,pinponbōru,乒乓球,pīngpāng qiú,탁구 공,taggu gong,der Tischtennisball,мячик для настольного тенниса,myachik dlya nastol'nogo tennisa,la balle de tennis de table,la pelota de pimpón,la pallina da ping-pong,டேபிள் டென்னிஸ் பந்து,ṭēpiḷ ṭeṉṉis pantu,టేబుల్ టెన్నిస్ బంతి,ṭēbul ṭennis banti,ಟೇಬಲ್ ಟೆನ್ನಿಸ್ ಚೆಂಡು
177,Sports,target,的,-teki,靶子,bǎzi,과녁,gwanyeog,die Zielscheibe,мишень,mishen',la cible,el objetivo,il bersaglio,இலக்கு,ilakku,గురి,lakṣyaṁ,ಗುರಿ
178,Sports,team,チーム,chīmu,团队,tuánduì,팀,tim,die Mannschaft,команда,komanda,l'équipe,el equipo,la squadra,அணி,aṇi,జట్టు,jaṭṭu,ತಂಡ
179,Sports,tennis,テニス,tenisu,网球,wǎngqiú,테니스,teniseu,das Tennis,теннис,tennis,le tennis,el tenis,il tennis,டென்னிஸ்,ṭeṉṉis,టెన్నిస్,ṭennis,ಟೆನ್ನಿಸ್
180,Sports,tennis ball,テニスボール,tenisubōru,网球,wǎngqiú,테니스 공,teniseu gong,der Tennisball,теннисный мяч,tennisnyy myach,la balle de tennis,la pelota de tenis,la palla da tennis,டென்னிஸ் பந்து,ṭeṉṉis pantu,టెన్నిస్ బంతి,ṭennis banti,ಟೆನ್ನಿಸ್ ಚೆಂಡು
181,Sports,tennis player,テニス選手,tenisu senshu,网球运动员,wǎngqiú yùndòngyuán,테니스 선수,teniseu seonsu,der Tennisspieler,теннисист,tennisist,le joueur de tennis,el jugador de tenis,il tennista,டென்னிஸ் வீரர்,ṭeṉṉis vīrar,టెన్నిస్ క్రీడాకారులు,ṭennis plēyar,ಟೆನ್ನಿಸ್ ಆಟಗಾರ
182,Sports,tennis racket,テニスラケット,tenisuraketto,网球拍,wǎngqiú pāi,테니스 라켓,teniseu lakes,der Tennisschläger,теннисная ракетка,tennisnaya raketka,la raquette de tennis,la raqueta de tenis,la racchetta da tennis,டென்னிஸ் மட்டை,ṭeṉṉis maṭṭai,టెన్నిస్ రాకెట్,ṭennis rākeṭ,ಟೆನ್ನಿಸ್ ದಾಂಡು
183,Sports,treadmill,トレッドミル,toreddomiru,跑步机,pǎobù jī,러닝 머신,leoning meosin,das Laufband,беговая дорожка,begovaya dorozhka,le tapis roulant,la cinta de correr,il tapis roulant,ஓடுபொறி,ōṭupoṟi,ట్రెడ్ మిల్,ṭreḍ mil,ಮೆಟ್ಟು ಯಂತ್ರ
184,Sports,volleyball player,バレーボール選手,barēbōru senshu,排球运动员,páiqiú yùndòngyuán,배구 선수,baegu seonsu,der Volleyballspieler,волейболист,voleybolist,le joueur de volley-ball,el jugador de voleibol,il giocatore di pallavolo,கைப்பந்து வீரர்,kaippantu vīrar,వాలీబాల్ క్రీడాకారుడు,vālībāl plēyar,ವಾಲಿಬಾಲ್ ಆಟಗಾರ
185,Sports,water ski,水上スキー,minakami sukī,滑水,huá shuǐ,수상 스키,susang seuki,der Wasserski,водные лыжи,vodnyye lyzhi,le ski nautique,el esquí acuático,lo sci d'acqua,நீர் சறுக்கு,nīr caṟukku,నీటి స్కీ,vāṭar skī,ನೀರು ಜಾರಾಟ
186,Sports,whistle,笛,fue,哨子,shàozi,호루라기,holulagi,die Trillerpfeife,свисток,svistok,le coup de sifflet,el silbato,il fischietto,ஊதல்,ūtal,ఈల,īla,ಪೀಪಿ
187,Sports,wind surfer,ウインドサーファー,uindosāfā,风帆冲浪者,fēngfān chōnglàng zhě,윈드서핑을 하는 사람,windeuseoping-eul haneun salam,der Windsurfer,виндсерфинг,vindserfing,le véliplanchiste,el surfista,il windsurf,காற்று உலாவர்,kāṟṟu ulāvar,వాయు చోదకుడు,viṇḍ sarphar,(ಗಾಳಿ ಸಹಾಯದ) ತೆರೆನೊರೆ ಸವಾರ
188,Sports,wrestling,レスリング,resuringu,摔跤,shuāijiāo,레슬링,leseulling,der Ringkampf,борьба,bor'ba,la lutte,la lucha,il wrestling,மல்யுத்தம்,malyuttam,కుస్తీ,kustī,ಕುಸ್ತಿ
189,Sports,yoga,ヨガ,yoga,瑜伽,yújiā,요가,yoga,das Yoga,йога,yoga,le yoga,el yoga,lo yoga,யோகாசனம்,yōkācaṉam,యోగా,yōgā,ಯೋಗ
190,Music,accordion,アコーディオン,akōdion,手风琴,shǒufēngqín,아코디언,akodieon,das Akkordeon,аккордеон,akkordeon,l'accordéon,el acordeón,la fisarmonica,அக்கார்டியன்,akkārṭiyaṉ,అకార్డియన్-ఒకరకము వాద్య యంత్రము,akārḍiyan,ಅಕ್ಕಾರ್ಡಿಯನ್
191,Music,balalaika,バラライカ,bararaika,巴拉莱卡琴,bā lā láikǎ qín,발랄라이카,ballallaika,die Balalaika,балалайка,balalayka,la balalaïka,la balalaica,la balalaika,பலேலெய்கா,palēleykā,బాలలైకా -ఒకరకము వాద్య యంత్రము,bālalaikā,ಬಲಲೈಕಾ
192,Music,band,バンド,bando,乐队,yuèduì,밴드,baendeu,die Band,ансамбль,ansambl',le groupe,la banda,la banda,இசைக்குழு,icaikkuḻu,మేళము,mēḷamu,ವಾದ್ಯ ವೃಂದ
193,Music,banjo,バンジョー,banjō,班卓琴,bān zhuō qín,밴조,baenjo,das Banjo,банджо,bandzho,le banjo,el banjo,il banjo,பாஞ்சோ இசைக்கருவி,pāñcō icaikkaruvi,బాంజో,bān̄jō,ಬಾಂಜೊ
194,Music,clarinet,クラリネット,kurarinetto,单簧管,dānhuángguǎn,클라리넷,keullalines,die Klarinette,кларнет,klarnet,la clarinette,el clarinete,il clarinetto,க்ளாரினெட்,kḷāriṉeṭ,సన్నాయి వాయిద్యం,sannāyi,ಕ್ಲಾರಿನೆಟ್
195,Music,concert,コンサート,konsāto,演唱会,yǎnchàng huì,콘서트,konseoteu,das Konzert,концерт,kontsert,le concert,el concierto,il concerto,கச்சேரி,kaccēri,కచ్చేరి,kaccēri,ಸಂಗೀತ ಕಛೇರಿ
196,Music,drum,太鼓,taiko,鼓,gǔ,드럼,deuleom,die Trommel,барабан,baraban,le tambour,el tambor,il tamburo,டிரம்,ṭiram,డ్రమ్,ḍram,ಮದ್ದಲೆ
197,Music,drums,ドラム,doramu,打击乐器,dǎjí yuèqì,드럼,deuleom,das Schlagzeug,ударный инструмент,udarnyy instrument,la batterie,la batería,la batteria,டிரம்ஸ்,ṭirams,డ్రమ్ములు,ḍram'mulu,ತಾಳ ವಾದ್ಯಗಳು
198,Music,flute,フルート,furūto,长笛,chángdí,플루트,peulluteu,die Flöte,флейта,fleyta,la flûte,la flauta,il flauto,புல்லாங்குழல்,pullāṅkuḻal,వేణువు,vēṇuvu,ಕೊಳಲು
199,Music,grand piano,グランドピアノ,gurando piano,大钢琴,dà gāngqín,그랜드 피아노,geulaendeu piano,der Flügel,рояль,royal',le piano à queue,el piano de cola,il pianoforte a coda,பெரும் பியானோ,perum piyāṉō,గ్రాండ్ పియానో,grāṇḍ piyānō,ಪಿಯಾನೊ
200,Music,guitar,ギター,gitā,吉他,jítā,기타,gita,die Gitarre,гитара,gitara,la guitare,la guitarra,la chitarra,கிடார்,kiṭār,గిటార్,giṭār,ಗಿಟಾರ್
201,Music,hall,ホール,hōru,礼堂,lǐtáng,홀,hol,der Saal,зал,zal,la salle,la sala,la sala,அரங்கு,araṅku,సభా మందిరం,hālu,ಸಭಾಂಗಣ
202,Music,keyboard,キーボード,kībōdo,电子琴,diànzǐqín,키보드,kibodeu,das Keyboard,клавишный инструмент,klavishnyy instrument,le synthétiseur,el teclado,la tastiera,விசைப்பலகை,vicaippalakai,కీబోర్డ్,kībōrḍ,ಕೀಲಿ ಮಣೆ
203,Music,mouth organ,ハーモニカ,hāmonika,口风琴,kǒu fēngqín,하모니카,hamonika,die Mundharmonika,губная гармошка,gubnaya garmoshka,l'harmonica,la armónica,l'armonica a bocca,மவுத் ஆர்கன்,mavut ārkaṉ,నోటితో ఊదు వాద్యము,maut ārgan,ಮೌತ್ ಆರ್ಗನ್
204,Music,music,音楽,ongaku,乐谱,yuèpǔ,음악,eum-ag,die Musik,музыка,muzyka,la musique,la música,la musica,இசை,icai,సంగీతం,saṅgītaṁ,ಸಂಗೀತ
